order_id,order_date,product_name,category,sub_category,region,city,channel,customer_segment,sales,profit,quantity,discount
RI-10042,2024-01-03,Portable Desk Hub,Technology,Computing,East,New York,Retail,Consumer,983.03,157.33,5,0.109
RI-10043,2024-01-03,Portable Desk Hub,Technology,Computing,East,Philadelphia,Retail,Home Office,335.6,58.51,2,0.083
RI-10044,2024-01-03,Signature Pen Set,Office Supplies,Writing,West,Los Angeles,Retail,Home Office,41.4,3.46,1,0.139
RI-10045,2024-01-03,Signature Pen Set,Office Supplies,Writing,West,Seattle,Online,Home Office,160.95,11.94,4,0.156
RI-10046,2024-01-03,Signature Pen Set,Office Supplies,Writing,South,Miami,Online,Corporate,38.99,4.18,1,0.096
RI-10047,2024-01-03,Supply Kit Pro,Office Supplies,Paper,East,Philadelphia,Retail,Corporate,112.72,19.16,2,0.0
RI-10048,2024-01-03,Executive Desk,Furniture,Desks,West,Seattle,Online,Corporate,916.98,267.71,2,0.051
RI-10049,2024-01-03,Portable Desk Hub,Technology,Computing,South,Miami,Online,Consumer,170.82,30.82,1,0.072
RI-10050,2024-01-03,Mobile Organizer,Accessories,Travel,East,Philadelphia,Online,Corporate,124.85,20.92,2,0.059
RI-10051,2024-01-03,Wireless Dock Station,Technology,Accessories,East,Boston,Retail,Home Office,116.96,11.95,1,0.196
RI-10052,2024-01-03,Executive Desk,Furniture,Desks,Central,Denver,Retail,Consumer,740.77,237.05,2,0.0
RI-10053,2024-01-03,Wireless Dock Station,Technology,Accessories,East,New York,Wholesale,Corporate,148.54,26.74,1,0.0
RI-10054,2024-01-03,Portable Desk Hub,Technology,Computing,South,Atlanta,Online,Home Office,518.93,89.33,3,0.087
RI-10055,2024-01-03,Archive Drawer Basic,Accessories,Storage,West,San Francisco,Online,Corporate,95.22,12.95,1,0.08
RI-10056,2024-01-03,Ergo Office Chair,Furniture,Office Seating,West,San Francisco,Online,Corporate,977.88,348.81,4,0.006
RI-10057,2024-01-03,Ergo Office Chair,Furniture,Office Seating,South,Miami,Retail,Corporate,1076.96,342.1,4,0.077
RI-10058,2024-01-04,Executive Desk,Furniture,Desks,Central,Denver,Online,Consumer,915.95,209.48,3,0.166
RI-10059,2024-01-04,Ergo Office Chair,Furniture,Office Seating,Central,Chicago,Wholesale,Corporate,249.55,75.49,1,0.05
RI-10060,2024-01-04,Mobile Organizer,Accessories,Travel,East,New York,Retail,Corporate,127.32,17.2,2,0.118
RI-10061,2024-01-04,Portable Desk Hub,Technology,Computing,Central,Dallas,Retail,Home Office,177.42,31.91,1,0.073
RI-10062,2024-01-04,Wireless Dock Station,Technology,Accessories,West,Los Angeles,Online,Consumer,154.66,29.25,1,0.038
RI-10063,2024-01-04,Business Binder Pack,Office Supplies,Binders,East,New York,Online,Corporate,31.94,3.79,1,0.057
RI-10064,2024-01-04,Wireless Dock Station,Technology,Accessories,West,Seattle,Retail,Corporate,445.3,77.35,3,0.066
RI-10065,2024-01-04,Portable Desk Hub,Technology,Computing,Central,Dallas,Online,Corporate,377.32,64.13,2,0.091
RI-10066,2024-01-04,Archive Drawer Basic,Accessories,Storage,South,Houston,Online,Corporate,283.03,31.95,4,0.122
RI-10067,2024-01-04,Wireless Dock Station,Technology,Accessories,West,San Francisco,Wholesale,Consumer,137.0,16.9,1,0.103
RI-10068,2024-01-04,Portable Desk Hub,Technology,Computing,Central,Chicago,Online,Home Office,680.01,94.25,4,0.148
RI-10069,2024-01-04,Supply Kit Pro,Office Supplies,Paper,West,Seattle,Wholesale,Home Office,184.78,20.58,3,0.052
RI-10070,2024-01-04,Business Binder Pack,Office Supplies,Binders,East,Boston,Retail,Consumer,32.99,3.19,1,0.097
RI-10071,2024-01-04,Executive Desk,Furniture,Desks,South,Miami,Retail,Home Office,2450.39,689.79,6,0.07
RI-10072,2024-01-04,UltraWide Monitor,Technology,Displays,West,Los Angeles,Retail,Consumer,618.27,127.3,2,0.062
RI-10073,2024-01-04,Archive Drawer Basic,Accessories,Storage,West,Seattle,Online,Corporate,182.49,30.84,2,0.02
RI-10074,2024-01-04,Portable Desk Hub,Technology,Computing,South,Atlanta,Retail,Corporate,505.31,91.16,3,0.072
RI-10075,2024-01-04,UltraWide Monitor,Technology,Displays,East,Philadelphia,Wholesale,Corporate,820.26,90.15,3,0.182
RI-10076,2024-01-04,Archive Drawer Basic,Accessories,Storage,Central,Dallas,Wholesale,Consumer,155.1,16.95,2,0.074
RI-10077,2024-01-04,UltraWide Monitor,Technology,Displays,South,Houston,Online,Consumer,272.83,54.68,1,0.072
RI-10078,2024-01-04,Wireless Dock Station,Technology,Accessories,East,Boston,Retail,Consumer,144.89,27.64,1,0.035
RI-10079,2024-01-05,Archive Drawer Basic,Accessories,Storage,Central,Chicago,Retail,Home Office,65.34,4.57,1,0.2
RI-10080,2024-01-05,Supply Kit Pro,Office Supplies,Paper,Central,Denver,Wholesale,Home Office,40.89,2.04,1,0.171
RI-10081,2024-01-05,Ergo Office Chair,Furniture,Office Seating,Central,Denver,Wholesale,Corporate,1403.88,381.43,6,0.106
RI-10082,2024-01-05,Ergo Office Chair,Furniture,Office Seating,Central,Dallas,Wholesale,Home Office,852.73,233.56,4,0.102
RI-10083,2024-01-05,Ergo Office Chair,Furniture,Office Seating,West,Los Angeles,Retail,Corporate,1258.22,441.89,4,0.016
RI-10084,2024-01-05,Ergo Office Chair,Furniture,Office Seating,West,Los Angeles,Retail,Home Office,260.68,80.51,1,0.093
RI-10085,2024-01-05,Ergo Office Chair,Furniture,Office Seating,East,Philadelphia,Retail,Consumer,1153.95,313.24,4,0.161
RI-10086,2024-01-05,Portable Desk Hub,Technology,Computing,Central,Denver,Online,Consumer,760.63,157.3,4,0.024
RI-10087,2024-01-05,Portable Desk Hub,Technology,Computing,Central,Dallas,Wholesale,Consumer,362.21,54.28,2,0.073
RI-10088,2024-01-05,Mobile Organizer,Accessories,Travel,Central,Denver,Retail,Consumer,249.86,23.59,5,0.192
RI-10089,2024-01-05,UltraWide Monitor,Technology,Displays,West,Seattle,Online,Corporate,894.65,145.34,3,0.141
RI-10090,2024-01-05,Mobile Organizer,Accessories,Travel,Central,Chicago,Retail,Consumer,214.08,40.46,4,0.02
RI-10091,2024-01-05,Archive Drawer Basic,Accessories,Storage,East,Philadelphia,Retail,Corporate,96.71,15.6,1,0.034
RI-10092,2024-01-05,Executive Desk,Furniture,Desks,South,Miami,Online,Corporate,1561.26,437.78,4,0.072
RI-10093,2024-01-05,Wireless Dock Station,Technology,Accessories,South,Houston,Wholesale,Home Office,410.42,61.23,3,0.056
RI-10094,2024-01-05,Executive Desk,Furniture,Desks,Central,Denver,Wholesale,Corporate,588.52,129.24,2,0.128
RI-10095,2024-01-05,Executive Desk,Furniture,Desks,West,San Francisco,Online,Corporate,768.45,188.42,2,0.136
RI-10096,2024-01-05,Executive Desk,Furniture,Desks,East,New York,Online,Corporate,375.36,97.82,1,0.108
RI-10097,2024-01-05,UltraWide Monitor,Technology,Displays,West,San Francisco,Wholesale,Consumer,611.79,122.08,2,0.019
RI-10098,2024-01-06,Task Lamp Mini,Accessories,Lighting,West,San Francisco,Online,Consumer,173.45,27.8,2,0.054
RI-10099,2024-01-06,Portable Desk Hub,Technology,Computing,South,Houston,Online,Corporate,157.1,25.32,1,0.107
RI-10100,2024-01-06,Archive Drawer Basic,Accessories,Storage,West,San Francisco,Online,Consumer,105.18,17.77,1,0.02
RI-10101,2024-01-06,Supply Kit Pro,Office Supplies,Paper,Central,Denver,Online,Home Office,147.91,16.52,3,0.106
RI-10102,2024-01-06,Task Lamp Mini,Accessories,Lighting,West,Los Angeles,Wholesale,Corporate,145.23,8.14,2,0.189
RI-10103,2024-01-06,Task Lamp Mini,Accessories,Lighting,East,Boston,Retail,Consumer,140.62,16.12,2,0.137
RI-10104,2024-01-06,Ergo Office Chair,Furniture,Office Seating,East,Philadelphia,Online,Consumer,815.36,219.98,3,0.164
RI-10105,2024-01-06,Portable Desk Hub,Technology,Computing,South,Atlanta,Online,Consumer,484.55,79.95,3,0.1
RI-10106,2024-01-06,Mobile Organizer,Accessories,Travel,West,Seattle,Online,Home Office,126.75,18.31,2,0.101
RI-10107,2024-01-06,Archive Drawer Basic,Accessories,Storage,East,New York,Online,Consumer,169.17,18.73,2,0.126
RI-10108,2024-01-06,Task Lamp Mini,Accessories,Lighting,West,Seattle,Retail,Consumer,274.9,36.81,4,0.102
RI-10109,2024-01-06,Supply Kit Pro,Office Supplies,Paper,East,Philadelphia,Retail,Corporate,169.84,27.19,3,0.018
RI-10110,2024-01-06,Supply Kit Pro,Office Supplies,Paper,West,Los Angeles,Retail,Corporate,122.11,17.47,2,0.049
RI-10111,2024-01-06,UltraWide Monitor,Technology,Displays,Central,Dallas,Wholesale,Consumer,262.73,51.99,1,0.022
RI-10112,2024-01-07,Signature Pen Set,Office Supplies,Writing,Central,Chicago,Retail,Corporate,36.32,4.59,1,0.061
RI-10113,2024-01-07,Signature Pen Set,Office Supplies,Writing,West,San Francisco,Retail,Consumer,284.89,32.73,6,0.082
RI-10114,2024-01-07,Archive Drawer Basic,Accessories,Storage,East,New York,Online,Corporate,189.08,27.28,2,0.065
RI-10115,2024-01-07,Mobile Organizer,Accessories,Travel,East,New York,Online,Consumer,59.6,8.09,1,0.117
RI-10116,2024-01-07,Portable Desk Hub,Technology,Computing,South,Atlanta,Online,Consumer,463.56,80.57,3,0.084
RI-10117,2024-01-07,Conference Storage Unit,Furniture,Storage,West,Seattle,Online,Consumer,398.99,105.13,1,0.03
RI-10118,2024-01-07,Business Binder Pack,Office Supplies,Binders,East,Boston,Online,Consumer,32.01,3.48,1,0.075
RI-10119,2024-01-07,Archive Drawer Basic,Accessories,Storage,South,Houston,Wholesale,Consumer,69.97,4.26,1,0.162
RI-10120,2024-01-07,Executive Desk,Furniture,Desks,South,Miami,Retail,Corporate,353.39,97.15,1,0.082
RI-10121,2024-01-07,Task Lamp Mini,Accessories,Lighting,Central,Dallas,Online,Consumer,131.75,17.42,2,0.105
RI-10122,2024-01-07,Conference Storage Unit,Furniture,Storage,South,Miami,Online,Home Office,283.59,66.46,1,0.083
RI-10123,2024-01-07,Conference Storage Unit,Furniture,Storage,East,New York,Online,Corporate,1298.29,254.99,4,0.152
RI-10124,2024-01-07,Portable Desk Hub,Technology,Computing,West,Seattle,Online,Home Office,768.59,147.53,4,0.051
RI-10125,2024-01-08,Supply Kit Pro,Office Supplies,Paper,East,Boston,Online,Home Office,101.61,8.22,2,0.162
RI-10126,2024-01-08,Supply Kit Pro,Office Supplies,Paper,West,San Francisco,Online,Consumer,60.98,7.31,1,0.091
RI-10127,2024-01-08,Supply Kit Pro,Office Supplies,Paper,East,Philadelphia,Retail,Consumer,226.47,26.17,6,0.099
RI-10128,2024-01-08,Wireless Dock Station,Technology,Accessories,West,Seattle,Wholesale,Consumer,128.11,12.56,1,0.149
RI-10129,2024-01-08,Supply Kit Pro,Office Supplies,Paper,Central,Dallas,Online,Home Office,104.85,13.5,2,0.075
RI-10130,2024-01-08,Mobile Organizer,Accessories,Travel,East,Philadelphia,Online,Corporate,59.16,9.03,1,0.086
RI-10131,2024-01-08,UltraWide Monitor,Technology,Displays,South,Houston,Retail,Corporate,954.97,224.47,3,0.009
RI-10132,2024-01-08,Mobile Organizer,Accessories,Travel,East,New York,Online,Corporate,201.19,25.63,4,0.132
RI-10133,2024-01-08,Archive Drawer Basic,Accessories,Storage,Central,Chicago,Retail,Corporate,85.16,7.18,1,0.174
RI-10134,2024-01-08,Signature Pen Set,Office Supplies,Writing,East,Philadelphia,Retail,Corporate,83.38,9.35,2,0.087
RI-10135,2024-01-08,Business Binder Pack,Office Supplies,Binders,East,Philadelphia,Online,Consumer,29.81,2.6,1,0.114
RI-10136,2024-01-08,Business Binder Pack,Office Supplies,Binders,West,Seattle,Online,Consumer,100.95,15.14,3,0.0
RI-10137,2024-01-08,Business Binder Pack,Office Supplies,Binders,West,Los Angeles,Online,Consumer,102.85,10.0,3,0.096
RI-10138,2024-01-08,Supply Kit Pro,Office Supplies,Paper,Central,Chicago,Wholesale,Corporate,56.67,5.44,1,0.08
RI-10139,2024-01-08,Mobile Organizer,Accessories,Travel,East,Boston,Online,Consumer,212.3,25.06,4,0.149
RI-10140,2024-01-08,Mobile Organizer,Accessories,Travel,South,Miami,Online,Corporate,101.12,14.38,2,0.105
RI-10141,2024-01-08,Portable Desk Hub,Technology,Computing,South,Miami,Wholesale,Home Office,502.66,76.15,3,0.07
RI-10142,2024-01-08,Wireless Dock Station,Technology,Accessories,East,Philadelphia,Online,Corporate,139.99,22.78,1,0.086
RI-10143,2024-01-08,UltraWide Monitor,Technology,Displays,West,Seattle,Wholesale,Consumer,359.77,70.41,1,0.026
RI-10144,2024-01-09,Signature Pen Set,Office Supplies,Writing,West,Los Angeles,Online,Home Office,45.58,5.01,1,0.091
RI-10145,2024-01-09,Supply Kit Pro,Office Supplies,Paper,South,Atlanta,Online,Consumer,201.75,25.09,4,0.083
RI-10146,2024-01-09,Business Binder Pack,Office Supplies,Binders,West,Los Angeles,Wholesale,Consumer,69.82,6.46,2,0.05
RI-10147,2024-01-09,Business Binder Pack,Office Supplies,Binders,Central,Chicago,Wholesale,Corporate,32.14,2.0,1,0.105
RI-10148,2024-01-09,Portable Desk Hub,Technology,Computing,East,Philadelphia,Online,Consumer,598.64,123.47,3,0.025
RI-10149,2024-01-09,Task Lamp Mini,Accessories,Lighting,South,Miami,Online,Corporate,268.49,44.81,4,0.042
RI-10150,2024-01-09,Executive Desk,Furniture,Desks,South,Houston,Online,Consumer,792.69,240.14,2,0.031
RI-10151,2024-01-09,Ergo Office Chair,Furniture,Office Seating,East,Philadelphia,Online,Corporate,1036.1,330.26,4,0.075
RI-10152,2024-01-09,Task Lamp Mini,Accessories,Lighting,South,Miami,Retail,Home Office,71.55,9.97,1,0.092
RI-10153,2024-01-09,Portable Desk Hub,Technology,Computing,Central,Chicago,Retail,Corporate,356.22,78.37,2,0.0
RI-10154,2024-01-09,Signature Pen Set,Office Supplies,Writing,West,Seattle,Online,Consumer,39.95,3.49,1,0.132
RI-10155,2024-01-09,Mobile Organizer,Accessories,Travel,West,Los Angeles,Online,Consumer,183.6,19.15,4,0.174
RI-10156,2024-01-09,Conference Storage Unit,Furniture,Storage,West,Seattle,Retail,Consumer,1052.4,276.73,3,0.031
RI-10157,2024-01-09,Task Lamp Mini,Accessories,Lighting,Central,Dallas,Online,Corporate,124.18,17.17,2,0.094
RI-10158,2024-01-09,Signature Pen Set,Office Supplies,Writing,South,Atlanta,Retail,Consumer,31.74,3.32,1,0.101
RI-10159,2024-01-09,Supply Kit Pro,Office Supplies,Paper,Central,Denver,Online,Consumer,215.14,24.98,4,0.098
RI-10160,2024-01-09,Archive Drawer Basic,Accessories,Storage,East,New York,Online,Home Office,87.17,6.25,1,0.197
RI-10161,2024-01-09,Conference Storage Unit,Furniture,Storage,Central,Chicago,Online,Consumer,629.14,141.21,2,0.101
RI-10162,2024-01-09,Task Lamp Mini,Accessories,Lighting,East,New York,Online,Consumer,146.94,18.63,2,0.115
RI-10163,2024-01-09,Conference Storage Unit,Furniture,Storage,South,Atlanta,Online,Consumer,306.04,85.69,1,0.0
RI-10164,2024-01-09,Task Lamp Mini,Accessories,Lighting,Central,Denver,Wholesale,Corporate,440.0,57.09,6,0.055
RI-10165,2024-01-09,Portable Desk Hub,Technology,Computing,South,Atlanta,Wholesale,Consumer,1056.36,188.51,6,0.021
RI-10166,2024-01-09,UltraWide Monitor,Technology,Displays,Central,Dallas,Online,Consumer,300.12,45.95,1,0.158
RI-10167,2024-01-09,Supply Kit Pro,Office Supplies,Paper,East,Philadelphia,Online,Corporate,291.74,49.6,5,0.0
RI-10168,2024-01-10,Supply Kit Pro,Office Supplies,Paper,East,Boston,Retail,Corporate,51.96,5.43,1,0.119
RI-10169,2024-01-10,Executive Desk,Furniture,Desks,West,Seattle,Online,Consumer,828.71,229.64,2,0.078
RI-10170,2024-01-10,Task Lamp Mini,Accessories,Lighting,South,Miami,Retail,Corporate,57.38,5.47,1,0.172
RI-10171,2024-01-10,Archive Drawer Basic,Accessories,Storage,Central,Denver,Online,Corporate,179.96,23.58,2,0.089
RI-10172,2024-01-10,Task Lamp Mini,Accessories,Lighting,East,New York,Online,Consumer,224.24,38.41,3,0.034
RI-10173,2024-01-10,UltraWide Monitor,Technology,Displays,Central,Chicago,Online,Corporate,626.33,118.28,2,0.093
RI-10174,2024-01-10,Mobile Organizer,Accessories,Travel,South,Atlanta,Online,Corporate,247.42,46.76,4,0.02
RI-10175,2024-01-10,Wireless Dock Station,Technology,Accessories,Central,Dallas,Retail,Consumer,241.16,42.29,2,0.063
RI-10176,2024-01-10,Signature Pen Set,Office Supplies,Writing,South,Miami,Online,Consumer,151.28,18.38,4,0.07
RI-10177,2024-01-10,Wireless Dock Station,Technology,Accessories,Central,Dallas,Retail,Consumer,417.5,66.78,3,0.091
RI-10178,2024-01-10,Supply Kit Pro,Office Supplies,Paper,West,San Francisco,Online,Consumer,130.58,20.33,2,0.026
RI-10179,2024-01-10,UltraWide Monitor,Technology,Displays,South,Houston,Online,Corporate,1081.45,218.51,4,0.069
RI-10180,2024-01-10,Wireless Dock Station,Technology,Accessories,West,Los Angeles,Retail,Home Office,666.37,104.75,5,0.096
RI-10181,2024-01-10,Portable Desk Hub,Technology,Computing,South,Houston,Wholesale,Home Office,182.04,22.97,1,0.116
RI-10182,2024-01-10,Executive Desk,Furniture,Desks,East,New York,Wholesale,Corporate,863.51,221.45,2,0.061
RI-10183,2024-01-10,Mobile Organizer,Accessories,Travel,East,Philadelphia,Online,Home Office,58.9,6.53,1,0.162
RI-10184,2024-01-10,Task Lamp Mini,Accessories,Lighting,South,Atlanta,Wholesale,Home Office,65.81,6.26,1,0.118
RI-10185,2024-01-11,Mobile Organizer,Accessories,Travel,Central,Denver,Online,Consumer,123.48,17.57,2,0.105
RI-10186,2024-01-11,Ergo Office Chair,Furniture,Office Seating,Central,Dallas,Online,Home Office,808.4,267.46,3,0.053
RI-10187,2024-01-11,Conference Storage Unit,Furniture,Storage,South,Miami,Online,Home Office,1702.86,346.62,6,0.139
RI-10188,2024-01-11,Executive Desk,Furniture,Desks,West,San Francisco,Online,Corporate,2010.3,518.36,5,0.113
RI-10189,2024-01-11,Conference Storage Unit,Furniture,Storage,South,Miami,Wholesale,Home Office,767.99,176.37,2,0.037
RI-10190,2024-01-11,Wireless Dock Station,Technology,Accessories,South,Houston,Online,Corporate,272.84,42.29,2,0.1
RI-10191,2024-01-11,Business Binder Pack,Office Supplies,Binders,Central,Chicago,Online,Corporate,28.81,3.28,1,0.066
RI-10192,2024-01-11,Executive Desk,Furniture,Desks,East,Boston,Online,Corporate,771.3,246.82,2,0.0
RI-10193,2024-01-11,Wireless Dock Station,Technology,Accessories,East,Philadelphia,Retail,Consumer,476.26,75.13,3,0.095
RI-10194,2024-01-11,Wireless Dock Station,Technology,Accessories,South,Atlanta,Online,Consumer,488.36,82.41,4,0.075
RI-10195,2024-01-11,UltraWide Monitor,Technology,Displays,Central,Chicago,Retail,Consumer,796.97,135.17,3,0.128
RI-10196,2024-01-11,UltraWide Monitor,Technology,Displays,East,Philadelphia,Wholesale,Corporate,883.78,179.76,3,0.012
RI-10197,2024-01-11,Signature Pen Set,Office Supplies,Writing,West,Seattle,Retail,Corporate,196.61,23.67,4,0.072
RI-10198,2024-01-11,Mobile Organizer,Accessories,Travel,West,San Francisco,Online,Consumer,126.85,17.97,2,0.106
RI-10199,2024-01-11,Business Binder Pack,Office Supplies,Binders,West,Los Angeles,Online,Consumer,34.86,4.29,1,0.049
RI-10200,2024-01-11,Supply Kit Pro,Office Supplies,Paper,Central,Dallas,Online,Corporate,176.27,27.83,3,0.022
RI-10201,2024-01-11,Wireless Dock Station,Technology,Accessories,South,Atlanta,Online,Consumer,202.85,30.88,2,0.105
RI-10202,2024-01-11,Signature Pen Set,Office Supplies,Writing,East,New York,Online,Consumer,62.99,5.75,2,0.125
RI-10203,2024-01-11,Conference Storage Unit,Furniture,Storage,Central,Chicago,Online,Corporate,1082.06,292.86,4,0.017
RI-10204,2024-01-12,Ergo Office Chair,Furniture,Office Seating,West,Los Angeles,Online,Corporate,590.32,181.67,2,0.095
RI-10205,2024-01-12,Task Lamp Mini,Accessories,Lighting,West,Los Angeles,Retail,Home Office,397.33,37.03,6,0.176
RI-10206,2024-01-12,Portable Desk Hub,Technology,Computing,East,New York,Online,Corporate,906.73,199.48,5,0.0
RI-10207,2024-01-12,Portable Desk Hub,Technology,Computing,West,San Francisco,Online,Home Office,385.48,82.47,2,0.011
RI-10208,2024-01-12,Conference Storage Unit,Furniture,Storage,West,San Francisco,Wholesale,Consumer,1658.93,335.35,5,0.087
RI-10209,2024-01-12,Task Lamp Mini,Accessories,Lighting,West,Los Angeles,Wholesale,Consumer,161.04,23.91,2,0.021
RI-10210,2024-01-12,Signature Pen Set,Office Supplies,Writing,Central,Chicago,Online,Home Office,40.94,4.73,1,0.081
RI-10211,2024-01-12,Mobile Organizer,Accessories,Travel,West,San Francisco,Online,Home Office,54.5,8.08,1,0.094
RI-10212,2024-01-12,UltraWide Monitor,Technology,Displays,West,San Francisco,Online,Consumer,695.86,163.18,2,0.01
RI-10213,2024-01-12,Business Binder Pack,Office Supplies,Binders,South,Atlanta,Online,Home Office,30.96,4.18,1,0.027
RI-10214,2024-01-12,Executive Desk,Furniture,Desks,East,Boston,Online,Consumer,778.81,204.24,2,0.105
RI-10215,2024-01-12,Archive Drawer Basic,Accessories,Storage,South,Houston,Online,Consumer,84.21,12.1,1,0.066
RI-10216,2024-01-12,Conference Storage Unit,Furniture,Storage,South,Atlanta,Online,Consumer,329.58,77.42,1,0.082
RI-10217,2024-01-12,Conference Storage Unit,Furniture,Storage,South,Houston,Wholesale,Consumer,264.46,46.62,1,0.134
RI-10218,2024-01-12,Supply Kit Pro,Office Supplies,Paper,Central,Denver,Online,Corporate,306.34,52.08,5,0.0
RI-10219,2024-01-12,Archive Drawer Basic,Accessories,Storage,East,Philadelphia,Wholesale,Corporate,71.73,5.55,1,0.132
RI-10220,2024-01-12,Wireless Dock Station,Technology,Accessories,East,Philadelphia,Retail,Consumer,461.99,83.04,3,0.055
RI-10221,2024-01-12,Signature Pen Set,Office Supplies,Writing,Central,Chicago,Online,Corporate,220.06,20.93,6,0.118
RI-10222,2024-01-12,Mobile Organizer,Accessories,Travel,East,Boston,Retail,Corporate,372.78,61.23,6,0.065
RI-10223,2024-01-12,Archive Drawer Basic,Accessories,Storage,East,Boston,Online,Home Office,323.2,36.31,4,0.123
